stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.32,2.24,0.32,0.64,0.32,1.28,0.32,49.27,0.32,2.56
22Month,0,0,0.55,0,0,0,0,0,1.09,0,0
