stage,Epithelial_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,4.28,0,1.07,1.07,84.51,4.28,1.07,2.14
21Day,0,0,0,0,24.09,0,0,0
22Month,0,0.55,0,0,0,0,0,0
