stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,1.07,1.07,0,0,35.3,1.07,0,0,3.21,0,4.28,1.07,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,8.03,2.68,0,0,0,0,1.34,0,0,0
3Month,0,0,0.32,3.2,0,0,0.32,1.28,1.6,1.28,1.28,0,0.96,0.32,0.64,0.96,4.16,1.6,0.96,0.64,0,0,0,0.64,1.28,1.28,0,0.32,0.96
22Month,0,0,0.55,2.73,0,0.55,0,8.75,1.09,8.75,0.55,0,3.83,0,1.09,1.09,5.47,0,0,0.55,0,2.19,3.28,0.55,0.55,1.64,0.55,0.55,0.55
