stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,0,8.17,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,3.21,2.14,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,56.22,0,0,1.34,0,1.34,1.34,1.34,1.34,1.34,0,18.74
3Month,0,0,0.32,0,0,0,0,0.64,0.32,0.32,0,0.32,0,0,0,0,0,0,0.32,11.84
22Month,0,0,0,0,0.55,0,1.09,0,0,0,0,0.55,1.09,0,0,0,0,0,0,12.57
