stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,12.26,0,0,0,0,0,0,0,0,40.86,0,0,0,114.42,0,0,0,0,0
72hpf,20.33,1.07,2.14,0,0,0,0,1.07,0,50.28,0,5.35,8.56,13.91,27.81,0,0,4.28,0
21Day,12.05,1.34,1.34,0,0,1.34,0,2.68,0,87,0,4.02,2.68,5.35,14.72,2.68,0,0,1.34
3Month,0,0,0,0,0.32,0,0.32,0,0.32,1.6,0.32,0.64,0.32,0,0,0.32,0,0,0
22Month,0,0,0,1.09,3.28,0.55,0,0,0,1.09,0,0,0,0,0,0,0.55,0,0
