stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,1.07,4.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,18.74,0,0,0,0,0,0,0,1.34,10.71,0,0,9.37,2.68,0,0,0,0,1.34,0,1.34,0,1.34,1.34,0,0,1.34,0,0,9.37
3Month,0,0.32,1.92,75.51,0.96,0.96,0.32,7.36,19.84,0,9.6,50.87,8.96,25.28,2.88,21.12,33.59,3.52,1.92,5.12,0.96,0,0,0.32,0,0.32,1.6,0.32,5.76,0,2.24,0.64,24
22Month,1.64,1.09,4.37,29.52,0.55,1.09,0,10.39,21.87,2.73,16.95,27.88,12.57,56.85,0.55,7.11,24.6,7.65,0,3.28,0,0,0,2.19,0.55,1.09,0,0,14.76,0.55,1.64,0,12.57
