stage,Epithelial_cell,Hepatocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0
21Day,0,0,0,1.34,0,0
3Month,0.32,0.32,0,3.84,0.64,0.32
22Month,0,0,0,2.73,0,0
