stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,8.56,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0,2.56,0,0.32,1.28,0,2.56,0.64,1.6,0.64,1.92,0.32,0.32,0,0.64,0.32,0,4.48,0.64,9.28,0.32
22Month,0,0.55,1.64,0,0,1.09,0.55,10.39,1.64,3.28,0,0.55,0,0.55,1.09,0,0,0,0,0,0,0
