stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,69.47,0,4.09,0,0,0,0,0,0,0,0,89.9,192.06,8.17,98.07,0,0,0,8.17,20.43,555.75,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,25.67,1.07,9.63,0,0,0,0,0,0,0,0,63.12,285.63,0,10.7,0,0,0,4.28,133.72,48.14,1.07,5.35,0,14.98,1.07,0,0,2.14,0,0,4.28,0,0,0
21Day,14.72,1.34,1.34,69.6,1.34,13.39,0,2.68,0,0,4.02,0,0,1.34,101.73,190.07,2.68,24.09,0,0,1.34,0,85.67,50.86,9.37,99.05,0,16.06,9.37,0,9.37,2.68,1.34,5.35,1.34,0,0,2.68
3Month,1.6,2.88,7.36,149.1,0.32,0,0.64,10.88,4.8,0,13.12,6.72,0.32,30.72,182.69,18.56,17.6,16.32,1.28,0,3.2,34.87,94.39,0.32,27.2,65.27,0,1.28,5.12,0.32,238.68,0.64,0,0,0.32,4.48,23.68,3.84
22Month,0.55,3.83,13.67,93.48,0,0,1.09,8.2,4.92,191.88,41.55,2.19,1.09,109.33,56.31,2.19,7.65,17.49,0,0.55,1.09,2.73,30.07,0,23.51,16.95,1.64,0,1.64,0,32.8,0,0,0,0.55,0,0,3.28
