stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,1.07,0,0,0,11.77,0,0,0,0,0
21Day,0,6.69,4.02,1.34,0,0,0,0,0,0,1.34,0,329.28,0,1.34,5.35,1.34,1.34,1.34,49.53,6.69,0,2.68,0,0
3Month,0.64,0.64,0,0,0.96,0.32,0.32,0.32,0,0.32,0.32,1.28,33.59,0.96,0.32,0.32,0,0,0,0,0,0.64,0,0.32,0.96
22Month,0.55,0,0,0,0,1.64,4.37,0.55,1.09,0,0,1.64,25.15,0.55,0.55,0,0,0,0.55,0,0,0.55,0,0,0.55
