stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,4.09,0
72hpf,1.07,0,0,0,1.07,0,0,0,3.21
21Day,0,1.34,0,1.34,0,5.35,0,0,5.35
22Month,0.55,0,1.64,0,0,0,0,0,0
