stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,7.49,1.07,0,0,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,1.34,4.02,1.34,1.34,0,0,0,1.34,0,0,0,1.34,0,1.34,1.34,0,0,0,2.68,2.68,1.34,1.34,0,2.68,1.34,1.34,2.68,0,0,0
3Month,0,0,0,4.16,0,0,0.32,0.32,0,36.79,0.96,0,0.64,0.96,2.24,2.24,0,0.96,0.32,0.64,0,0.32,0.64,0,0,0,0.64,0.32,0,0.32,5.12,2.88
22Month,0,0.55,0.55,0.55,0,0,0,2.73,4.37,47.56,0.55,0.55,0.55,0,0.55,4.37,0,0,0.55,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0
