stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,2.14,0,0,0,0,0,0,0,1.07,2.14,0,16.05,0,0,3.21,1.07,16.05,0,0,0,1.07,0
21Day,1.34,1.34,0,1.34,0,0,0,0,0,0,0,1.34,0,25.43,0,1.34,0,0,6.69,1.34,0,1.34,0,0
3Month,0,0.32,1.28,0,0.32,0,0,1.92,0,0.64,0.96,0.64,0.32,5.76,0.64,0.32,0,0,0,0.64,0.32,0,0,2.24
22Month,0,1.09,1.09,0,0,0.55,1.64,7.65,0.55,1.09,0,0,1.64,3.83,1.09,0,0,0,0,0,0.55,0.55,0,0
