stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,8.17,44.95,0,4.09,0,0,0,0,0,0
72hpf,0,0,16.05,0,0,0,0,0,0,0,21.4,0,0,1.07,0,0,7.49,8.56,32.09,0,0,0,0,1.07,0,0,0
21Day,0,1.34,18.74,0,0,0,1.34,0,1.34,0,0,1.34,0,2.68,0,0,1.34,4.02,25.43,0,0,4.02,0,0,0,0,1.34
3Month,1.6,0.32,40.95,0.96,0.32,0,6.72,3.52,0,4.48,0.32,1.92,0.64,3.52,2.24,0.32,1.28,0,240.92,1.92,0,0.64,6.08,0.32,1.92,5.76,0.96
22Month,0,1.09,30.07,1.64,1.64,0.55,22.96,0.55,1.09,7.65,0,0,0.55,3.83,0,0,0.55,0,104.96,44.28,0,0,12.57,2.73,0,0,0
