stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,1.07,0,0,0,0,0,0,0,1.07,1.07,10.7,8.56,0,3.21,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,5.35,4.02,1.34,0,0,4.02,0
3Month,0,0,0,1.92,0,0,0.32,0,0.64,0.32,0.32,0.32,0.32,0.32,0,0,0,0,0,1.28,0,0.96
22Month,0,0,0.55,0,0,0,0,0,1.64,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0
