stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Macrophage,Muscle_cell,Osteoblast,Spermatocyte
72hpf,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,1.34,0
3Month,0.64,0,0,0.64,0,10.88,0,0.32
22Month,0.55,0,0,1.09,0,22.96,0,0
