stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cell,T_cell
72hpf,1.07,0,0,0,0,1.07,0,13.91,4.28,1.07,0,1.07,0,0
21Day,0,2.68,0,0,1.34,4.02,0,16.06,0,0,2.68,0,1.34,0
3Month,0.64,0,0,0,0,0,0,0.32,0,0,0,0,0,0.96
22Month,0,0,0.55,1.09,0,0,1.09,0,0,0,0,0,0,0.55
