stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,1.07,1.07,0,0,0,0,0,3.21,4.28,0,20.33,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,6.69,5.35,0,1.34,0,0,0,0,108.42,0,0,5.35,0,1.34,0,0,5.35,0,8.03,8.03,0,81.65,0,4.02,1.34,0,0,0,0,0,44.17
3Month,0.32,0.32,0.32,9.6,0,0.32,0,1.28,3.52,6.72,3.2,13.12,2.56,0.32,2.88,7.68,3.2,0.96,0.32,1.28,0.32,0,0,0.32,153.26,0,0.32,1.6,3.52,0,0.32,1.28,1.28,181.09
22Month,0,0,0,2.73,0,0,0,0,3.83,13.67,0.55,2.73,0.55,0,0.55,4.37,3.28,0,1.64,0,0,0,0,0,75.44,1.09,0.55,0.55,0.55,0.55,0,0,0,19.13
