stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,12.26,4.09,0,0,0,0,0,0,0,0,8.17,4.09,28.6,69.47,0,0,0,12.26,326.91,0,0,4.09,0,0,0
72hpf,1.07,1.07,0,1.07,0,1.07,0,0,0,0,0,1.07,0,0,5.35,0,5.35,0,0,0,6.42,24.61,0,0,1.07,0,0,0
21Day,1.34,0,0,5.35,0,14.72,0,8.03,0,0,0,0,0,0,0,0,17.4,0,0,0,1.34,5.35,0,0,4.02,0,0,0
3Month,0,0,0.32,3.2,0.32,0,0,0.32,0.64,0.32,1.92,0,1.6,0,1.28,0.96,0.32,0.32,0,0.32,0,0,0.64,0,0,0.32,28.48,12.8
22Month,0,0,0,1.64,0,0,0.55,0,1.09,3.28,0,1.09,1.09,0,0,1.09,0,0,0.55,0,0,0,0,0.55,0,0,2.73,0
