stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,3.21,0,0,0,0,0,0,0,0,0,3.21,4.28,1.07,8.56,0,0,0,0,12.84,9.63,0,9.63,0,0,0,2.14,0,0,0
21Day,12.05,1.34,2.68,9.37,6.69,0,0,0,0,0,2.68,5.35,13.39,1.34,1.34,2.68,1.34,40.16,1.34,0,2.68,0,8.03,6.69,0,22.76,5.35,1.34,0,13.39,0,0,1.34
3Month,0.32,4.48,3.2,14.72,0,0,0,0.64,10.24,0,30.4,13.44,0.64,4.48,2.56,6.4,12.16,20.16,6.72,0,1.28,0.64,0.64,0,0.64,0,0.64,4.16,0.32,0,1.28,0.64,10.56
22Month,0,8.75,7.65,16.95,0,0.55,1.09,2.73,12.57,3.28,87.46,83.64,9.29,7.11,1.09,2.73,32.25,30.61,2.19,7.11,1.64,0,1.64,0,1.64,0,0,0.55,2.19,0,0.55,0,10.93
