stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,27.81,3.21,0,1.07,0
21Day,1.34,1.34,1.34,0,22.76,6.69,1.34,0,1.34
22Month,0,0.55,0.55,1.64,0,0,0,0,0
