stage,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,1.07,0,0
21Day,0,1.34,0,0,0
3Month,0.32,0,0,0,0
22Month,0,0,0,0.55,0
