stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,53.12,0,0,0,0,4.09,0
72hpf,1.07,1.07,0,0,0,1.07,0,0,0,1.07,1.07,4.28,0,0,102.7,10.7,1.07,2.14,0,2.14,0,0
21Day,0,1.34,1.34,1.34,1.34,2.68,1.34,0,0,0,0,8.03,0,0,73.62,5.35,0,1.34,0,6.69,0,1.34
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0
22Month,0,0,0.55,1.09,0,0,0,9.84,1.64,0,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0
