stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,12.84,2.14,12.84,8.56,8.56,0,0,0,0,0,0,0,0,0,0,1.07,13.91,1.07,46,0,0,2.14,0,736.02,31.02,1.07,1.07,31.02,1.07,0,4.28,2.14,3.21,0,0,0
21Day,1.34,0,14.72,0,5.35,0,2.68,0,1.34,0,1.34,2.68,0,4.02,2.68,1.34,9.37,2.68,36.14,0,0,13.39,0,255.66,5.35,2.68,1.34,14.72,12.05,5.35,2.68,1.34,1.34,0,0,1.34
3Month,0.32,0.96,47.03,0.32,0,0,0,0.32,1.28,1.6,0,9.28,1.6,0.64,2.24,0.64,70.71,2.24,5.12,0.96,0,0.96,17.28,22.08,0,2.24,0.64,0.32,0.32,7.36,0,0,0,0,1.6,1.28
22Month,0,1.64,9.29,0,0,1.09,0.55,0,1.64,2.19,4.92,35.53,5.47,1.64,1.64,0,11.48,1.09,2.73,0,0.55,1.64,0,10.93,0,0.55,0.55,0,0,17.49,0,0,0,0.55,0,0.55
