stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0
72hpf,1.07,0,0,1.07,0,0,36.37,5.35,2.14,1.07,1.07,1.07
21Day,0,1.34,1.34,1.34,0,2.68,16.06,2.68,0,0,0,0
3Month,0,0,0.64,0,0.32,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.55,0,0,0.55,0,0,0
