stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,9.63,24.61,3.21,0,0,0,0,0,0,0,0,2.14,13.91,0,47.07,0,0,10.7,1.07,166.89,11.77,0,7.49,0,2.14,2.14,0,0,0,0,0,0
21Day,1.34,2.68,1.34,49.53,24.09,13.39,1.34,0,0,0,2.68,0,2.68,2.68,0,12.05,1.34,34.8,0,2.68,26.77,0,42.83,6.69,0,20.08,4.02,6.69,0,0,1.34,0,0,0,0
3Month,0.32,2.56,0,25.92,4.8,0,0,0,5.12,0,6.4,1.6,0.96,2.88,0.32,2.56,4.8,13.44,3.2,0,0.64,24.96,5.12,1.92,1.92,0,0.64,52.15,0,0.32,0,1.92,1.6,8.64,11.2
22Month,1.09,1.09,2.73,13.67,0.55,0,0,0.55,0.55,2.19,13.67,0,2.19,3.28,0,1.09,6.56,9.29,0.55,0.55,0,1.09,4.92,2.19,0,0,0,18.59,1.09,0,0,0.55,0,0,5.47
