stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,3.21,0,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,0,0,6.69,0,0,0,1.34,12.05,0,0,0
3Month,0,0.96,1.6,0.32,0.32,0,1.6,0.96,0.64,0.32,0.32,7.68,3.84,0.64,0,0,0,0,0.32,0.32
22Month,0,2.73,0.55,0,0,0.55,7.65,0,0.55,0,0,6.56,0,0.55,0,0,0,0.55,0,0
