stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,9.63,0,43.86,4.28,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,2.68,0,0,0,0,0,6.69,0,0,0,2.68,1.34,4.02,0,0,41.49,6.69,1.34,0,0,2.68,0,0,1.34,0,0,0
3Month,3.52,0,0.64,15.68,0,0,0.32,0.32,0,0,0.32,24.96,0.96,1.6,0,9.28,0,6.08,0,0.64,0.64,0,6.08,1.28,0.32,0.96,1.28,0.96,0,0.64,0.32,4.8
22Month,1.64,2.19,0,12.03,0,0,0,0,1.09,1.09,3.28,100.04,0.55,0.55,0,7.11,1.09,2.73,1.64,0,1.64,0,9.29,0,0,0.55,2.73,0.55,0,0,0,0.55
