stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,14.98,0,0,0,5.35,0,0,0,0,0,0
21Day,0,0,0,12.05,0,2.68,0,0,0,0,0,0,16.06,0,1.34,0,2.68,1.34,0,0,0,0,0
3Month,0,0,0.64,21.12,0,0,0,0.96,0.32,2.88,0,1.6,1.6,1.28,0.32,0,0.96,0.32,0,1.92,0.32,1.6,1.6
22Month,0,0.55,0,4.92,0.55,0,0.55,0.55,0.55,8.2,0.55,1.64,0,0.55,1.09,0.55,0.55,0,0.55,1.64,0,0,0
