stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,4.09,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,4.28,0,3.21,0,0,0,73.82,10.7,0,0,4.28,0,0,2.14,35.3,34.23,0,0,0
21Day,0,0,0,13.39,0,4.02,0,0,0,0,0,0,0,1.34,0,1.34,4.02,2.68,13.39,0,0,0,14.72,2.68,0,0,0,2.68,0,0,117.79,283.77,0,0,4.02
3Month,0.32,0,1.92,54.39,0.32,0,0.64,0.32,0.32,1.28,0,11.2,0.64,0.96,11.52,1.28,7.68,2.24,2.24,0.32,0,0.64,0.64,0,0.64,0,0.32,0.64,14.4,0,2.24,1.92,0.64,8.96,0.64
22Month,0,0.55,0.55,6.56,0,0,0.55,0.55,1.09,4.37,1.09,18.04,0,3.28,4.92,1.09,1.09,4.92,1.64,0,1.09,0,1.09,1.64,0.55,0.55,0.55,0,9.84,0.55,78.72,0,0.55,0,1.64
