stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,1.07,1.07,2.14,0,0,0
21Day,0,0,0,2.68,0,1.34,0
3Month,0.32,0,0,0,0.32,0,0.32
