stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0
3Month,0,0,1.6,0.32,0.32,0.32,0.32,0.32,0.64,0.32,0.32,0.64
22Month,0.55,0.55,4.92,0.55,0,0,0,0,0.55,0,0,0
