stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07,0,0,0,0,0
21Day,0,4.02,10.71,0,0,0,0,0,0,10.71,1.34,2.68,0,2.68,0,0,1.34,0,2.68,0,0,0
3Month,0.32,0.96,3.2,0,1.92,0.32,1.6,3.52,0,26.88,0,2.24,0.64,1.28,0,0.32,0,0,0,0.96,0.32,0.96
22Month,1.64,0.55,5.47,0,1.09,0,12.57,6.56,0.55,37.72,0.55,1.09,0.55,1.09,0.55,0,0,1.09,0,0,0,0.55
