stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,24.52,0,0,0,8.17,0,0,298.31,0,0,0,0,0,0,4.09,0
72hpf,1.07,7.49,0,0,2.14,17.12,1.07,13.91,63.12,2.14,1.07,53.49,0,46,0,5.35,0
21Day,1.34,10.71,2.68,2.68,4.02,12.05,2.68,4.02,62.91,0,2.68,9.37,0,20.08,1.34,1.34,0
3Month,0.32,0,0,0.96,0,0.32,0,0,0,0,0,0.32,0.64,0,0,0,0
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.55
