stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,4.09,167.54,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,8.17,44.95,4.09,1046.12,0,4.09,0,0,24.52,3187.4,0,0,179.8,0,0,0,0,0,0,0,0,0,0
72hpf,31.02,2.14,49.21,5.35,18.19,0,0,0,1.07,0,0,0,0,0,0,8.56,74.89,1.07,402.24,0,12.84,1.07,0,230.01,632.25,2.14,0,375.5,1.07,0,0,170.1,1.07,0,2.14,0,0,0
21Day,14.72,0,58.9,0,13.39,0,0,0,0,0,0,0,2.68,6.69,1.34,0,10.71,2.68,437.7,1.34,0,60.23,0,80.31,149.92,0,2.68,112.44,18.74,0,0,62.91,1.34,8.03,10.71,0,0,1.34
3Month,0,0.64,52.15,2.24,0,0.32,0.32,2.88,1.92,0,0,6.72,2.56,2.88,3.84,0,6.72,2.88,64.95,0.64,0,4.48,0.32,0.64,4.8,2.56,0,2.24,0.64,0.32,7.04,2.88,0,0,8,40.31,2.56,1.92
22Month,0,1.64,9.29,0.55,0,0,0,0.55,4.37,3.28,0,19.68,1.64,13.12,1.09,0.55,3.83,10.93,32.8,0,0,3.83,0,1.09,2.73,15.85,0.55,0,0.55,0,4.37,8.75,0,0,2.19,2.19,0,0
