stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,12.26,12.26,0,326.91,0,0,0,4.09,4.09,0,69.47,0,4.09,224.75,0,0,0,0,0,0
72hpf,0,0,0,47.07,0,0,0,0,120.89,0,29.95,1.07,14.98,5.35,0,5.35,0,0,0,0
21Day,2.68,0,0,64.25,5.35,1.34,0,0,74.96,1.34,34.8,1.34,2.68,6.69,1.34,5.35,1.34,0,2.68,0
3Month,0,0,0,0.32,0,0,0.64,0,0.32,0,0,0,0.32,0,0,0,0,0.32,0,0.32
22Month,0,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
