stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,6.42,0,0,0,0,0,0,0,0,1.07,0,17.12,0,0,0,16.05,1.07,0,2.14,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0
3Month,0.96,0.32,6.72,0.32,0.64,0.64,6.72,6.4,1.28,0.32,0.32,0,0.64,2.88,0,0.32,0.32,0.32,0,0.96,0,0.96,97.26,0,6.4,19.84,0.64
22Month,4.92,0.55,1.64,0,0.55,0,8.75,5.47,0,0.55,0,0,1.09,0.55,0.55,0,0,0,0,0,0,0,27.88,0,2.19,0,0
