stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_progenitor_cell
72hpf,0,0,0,0,1.07,0,0
21Day,0,0,0,0,1.34,0,0
3Month,7.36,0.32,0.64,0.96,1.28,0,0.32
22Month,1.64,0.55,3.83,0.55,0.55,1.09,0
