stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0,4.09,0,0,0
72hpf,0,0,2.14,0,0,1.07,6.42,3.21,0,0,1.07
21Day,1.34,0,1.34,1.34,0,1.34,6.69,4.02,1.34,0,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0.32,0
