stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0.96,10.24,1.28,12.48,0.96,0,20.48,0.96,0,94.39,0.64,0.96,0.96,0.64,0,0.64,2.24,0.32,0,0,1.92,0.96,0.96,0.32,1.6
22Month,0,0.55,0,0.55,1.09,0.55,13.67,0,0.55,22.41,0,0,0.55,0,0,0,0,0,0,0.55,0.55,1.09,0,0,0
