stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,49.04,0,0,0,0,0,0,89.9,0,0,0,0,12.26,16.35,4.09,0,0,0,0,4.09,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,9.63,9.63,0,0,0,0,0,0,0,0,0,0,10.7,19.26,0,2.14,0,0,0,0,3.21,3.21,2.14,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,4.02,32.12,4.02,1.34,0,17.4,0,0,0,0,0,1.34,0,8.03,16.06,0,1.34,0,0,8.03,0,6.69,4.02,6.69,0,0,0,5.35,0,0,0,0,0,0,0
3Month,0.32,1.28,12.16,96.62,1.28,0,0.32,277.08,2.56,0,0,19.52,21.44,0,21.76,15.68,5.76,2.56,4.16,0.64,0,104.62,2.56,1.92,0.64,30.4,0.96,0,0.64,4.8,5.12,0.32,0.32,0.32,1.28,7.36,3.84
22Month,0,2.19,21.32,66.69,0,0,0.55,155.8,6.56,0.55,0,53.03,8.75,0,42.64,7.11,2.73,4.37,6.01,0.55,2.19,67.79,2.19,2.73,0,30.61,0.55,1.64,0,2.73,6.56,1.09,0,0.55,0.55,0,4.37
