stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,13.91,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,6.69,0,0,1.34,9.37,46.85,0,1.34,1.34,2.68,0,0,0,5.35
3Month,0,0.32,0.32,0.96,0.32,0,0.96,0.64,0.32,1.6,0.32,0.32,0,0.32,0,0,0.32,0.32,0.64,3.52
22Month,0.55,0,0,1.64,1.09,1.09,1.09,0.55,0,2.19,1.64,2.19,0,0.55,0,0,0,0,0,3.28
