stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,4.09,0,0
72hpf,0,2.14,0,0,0,1.07,0,2.14,0,0,0,6.42,6.42,5.35,0,1.07
21Day,0,0,0,0,0,0,1.34,0,0,0,1.34,0,1.34,0,2.68,1.34
3Month,0,0,0,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0
22Month,0.55,0.55,1.64,3.28,0,0,0,0,0,0.55,0,0,0,0,0,0
