stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,70.61,5.35,0,0,0,1.07,0,0,1.07,1.07,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,33.46,2.68,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0,1.28,0.32,0.32,1.6,1.28,0.32,0,0.32,0,0.32,0.96,0.64,0,0,0,0.96,0,0,0.32
22Month,0.55,0.55,0.55,16.4,0,0.55,2.73,0,0,0,0,0,0,0.55,1.09,0.55,0,0,2.73,0,0,0.55
