stage,Epithelial_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,4.09,0,32.69,28.6,4.09,4.09,0
72hpf,0,0,0,7.49,0,0,0
21Day,0,1.34,0,4.02,0,0,1.34
