stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,4.02,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,4.02,0,0,1.34,0,0,0,0,1.34,4.02,1.34,1.34,0,0,0,0,0,0
3Month,0.64,0.64,0.32,3.2,0.32,0,0,0,0.64,14.4,0.32,0,3.52,1.6,1.28,3.2,3.84,0.32,0,0.32,0.64,0,0,1.92,0.64,0,0.32,49.27,0,0,0.32,0.32,58.55,2.88
22Month,0,0.55,0,1.09,0,0,0.55,0,0.55,42.09,0,0.55,3.28,0.55,0,2.73,10.39,0,3.83,0,0,0.55,0,0.55,0.55,0,0.55,15.85,0.55,1.09,0,0,0.55,1.09
