stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,3.21,0,0,1.07,0,50.28,4.28,0,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,2.68,1.34,0,54.88,0,4.02,1.34,0,0,1.34,1.34,0
3Month,0,0.32,0.96,0,0.96,0,1.92,0.96,0,0.64,0,0.32,0,0.64,0.64,1.28,0,0,0.32,3.52,0.32,0,0,0.64
22Month,0,0,0,0,0.55,1.64,16.95,0.55,0,0.55,0,0,0,0,0,1.09,0,0,0,2.19,0.55,0,0,1.09
