stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,57.21,4.09,0,0,0,0,4.09,0,0,0,0,4.09,12.26,12.26,4.09,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,17.12,71.68,1.07,0,0,0,0,0,0,0,0,2.14,13.91,3.21,3.21,0,0,0,0,14.98,4.28,1.07,0,3.21,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,65.59,1.34,0,0,0,0,0,0,1.34,1.34,0,1.34,1.34,10.71,0,0,0,0,1.34,0,4.02,0,2.68,0,4.02,0,0,1.34,0,0,1.34
3Month,0.64,0,2.88,14.08,32.95,0,1.6,0.64,3.2,0,6.08,4.16,0.32,2.88,2.24,3.84,6.08,7.04,9.6,0.32,1.28,0.32,1.92,0,8.64,0,0,2.24,137.58,0.32,0,1.28,0.64,16.96,1.6
22Month,0,1.64,1.64,2.73,11.48,0,0.55,0,10.93,0,27.88,1.09,0,3.83,0.55,1.09,2.73,6.56,4.37,0.55,1.09,0.55,1.09,0.55,13.67,2.73,0,0.55,106.05,0.55,1.09,1.09,0.55,0,2.19
