stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,28.6,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,24.52,65.38,0,0,0,4.09,8.17,580.27,0,4.09,0,0,0,4.09,0,0,0
72hpf,4.28,1.07,0,7.49,1.07,1.07,0,1.07,0,0,0,0,0,1.07,0,2.14,8.56,0,12.84,0,0,1.07,0,29.95,68.47,0,2.14,1.07,0,4.28,0,0,0,0
21Day,4.02,0,0,6.69,0,21.42,0,2.68,0,0,0,0,0,6.69,0,0,0,0,2.68,0,0,1.34,1.34,6.69,16.06,0,2.68,0,0,0,0,0,0,0
3Month,0.32,0.96,0,17.6,0,0,0.32,1.28,0.32,9.6,0,10.24,6.08,2.24,3.84,0.64,0.32,4.48,6.4,0.64,0,0.32,0.96,1.6,0.96,0.32,0,1.6,99.5,0.64,0,1.28,60.79,15.68
22Month,0,0.55,1.09,2.73,0,0,1.64,0.55,0,16.4,0.55,19.68,3.28,10.39,8.2,0,0,12.03,1.09,0,2.19,0.55,0,0,1.09,0.55,0,0,5.47,0,0,0,0,2.73
