stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Neural_cell
21Day,4.02,0,0,0,4.02,6.69,1.34
3Month,2.24,0.32,0,0.32,0,0,0.32
22Month,0,0.55,0.55,0,0,0,0
