stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,4.09,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,0,2.14,0,0,0,0,0,0,0,0,0,8.56,0,2.14,0,0,232.14,10.7,0,19.26,2.14,0,0,1.07,2.14,1.07,1.07,0,0,0
21Day,2.68,1.34,0,4.02,1.34,2.68,0,0,1.34,0,0,1.34,0,0,5.35,4.02,2.68,1.34,0,82.99,9.37,0,20.08,2.68,1.34,0,0,1.34,2.68,1.34,0,0,0
3Month,0,1.6,0.32,1.6,0.32,0,0.32,0.32,1.28,0,0.96,5.12,0.32,0.32,0.96,3.52,0.32,0,0.32,0.64,0.32,0.32,1.92,0,0,0.64,0,0,0,0,8.64,0.64,0.96
22Month,0,0.55,0,0,0,0,0,0,2.73,0,1.09,1.64,0.55,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0
