stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,16.05,1.07,0,0,8.56,0,0,0,7.49,13.91,0,0,0,0
21Day,4.02,0,0,2.68,0,1.34,0,0,0,1.34,0,1.34,1.34,0,6.69,2.68,1.34,0,0,0,0,10.71,2.68,0,0,2.68,2.68,0,0,139.21,487.23,0,0,0,1.34
3Month,0,0.32,1.28,4.16,0,0,0.96,0.32,0.64,312.91,2.56,0,3.52,0.32,0.96,1.6,11.84,0.96,0.32,0.32,0.64,0.96,0,0.64,1.92,0,2.88,6.72,0,0.32,1.28,0.32,0.96,4.8,0.32
22Month,0,0.55,0,0.55,0,0,1.64,0.55,0.55,537.36,1.09,0.55,1.64,0.55,0,1.09,1.64,0,32.25,0,0,1.64,0.55,0.55,1.09,0,0.55,2.19,1.64,2.73,0,0,0,0,0.55
