stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,2.14,1.07,0,0,0,0
3Month,0.32,0.32,0,1.28,0.32,0,0,0,0.32,0,0.32
22Month,0,0,0.55,4.37,0.55,0,0,0.55,0,1.09,0
