stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,4.09,0,0,0
72hpf,0,0,0,8.56,1.07,0
21Day,0,0,0,6.69,1.34,2.68
22Month,0.55,1.64,0,0,0,0
