stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,3.21,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0.32,0,0,0,15.36,0.96,0,0.32,0.96,0.32,0.64,0.32,0,0,0.32,0,0
22Month,0.55,1.09,0.55,1.09,0.55,41,0.55,0,1.09,0,0,1.09,0,0,0.55,0,2.73,1.64
