stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,40.86,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,10.7,1.07,0,0,0,0,2.14,1.07,0,0,0
21Day,0,6.69,0,1.34,0,0,0,5.35,2.68,0,4.02,9.37,4.02,0,0,0,0,1.34,0,0,6.69
3Month,0.32,2.24,0,0,0.32,1.92,0.32,3.84,0,0,0.32,7.68,6.72,1.6,0.32,0.32,0,0.64,0,0.64,1.92
22Month,0,0,1.09,0,0,1.09,0,0,0,0.55,0,7.65,3.28,0,0,0,0,0,0.55,0,1.64
