stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,13.91,2.14,0,0,9.63,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0
3Month,4.8,0,1.92,0,0.96,0.32,0,10.24,0.96,0,1.92,0.32,1.6,0.64,7.04,1.28,0,0.64,0.32,0,0,0,0,0,0.32,9.28,23.36,0.32
22Month,9.29,0.55,1.09,0,1.09,1.64,7.65,78.72,2.19,0.55,5.47,0.55,0,2.19,2.73,0,0.55,0,0,0,0,0.55,0.55,0,0,2.19,0,0
