stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,8.56,0,0,16.05,7.49,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,1.34,4.02,1.34,0,0,0,0,1.34,1.34,0,13.39,1.34,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.96,0,0,0,0.96,0.32,2.88,0.32,0.32,0.32,0.32,0,0,0.96,0.32,0.32,2.56,0.64,0,0,0.32,62.39,0.32
