stage,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Primordial_germ_cell,Spermatocyte
21Day,0,0,1.34,0,0
3Month,0.32,0,0,0.32,0.96
22Month,0,3.83,0.55,2.73,0
