stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,44.95,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,4.28,1.07,0,0,4.28,2.14,0,2.14,0,1.07,0,0
21Day,4.02,2.68,0,0,0,0,0,1.34,1.34,1.34,2.68,0,0,0,0,0,1.34
3Month,0,3.2,0.64,0.64,0.64,0.64,0.32,0,0,0,0,0.32,0,0.64,0,0.32,0.32
