stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,3.21,0,25.67,1.07,1.07,0,0,0
21Day,2.68,0,0,0,1.34,16.06,1.34,0,1.34,1.34,2.68
3Month,0,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0,0.55,1.09,0,0,0,0,0,0,0,0
