stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,36.78,0,0,0,0,4.09,44.95,8.17,16.35,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,1.07,1.07,0,0,0,4.28,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,1.34,0,0,0,1.34,2.68,32.12,0,0,0,0
3Month,0.96,0.64,1.28,58.23,0.64,0.64,0.32,24.96,8,0.32,0,52.47,8.96,1.6,10.88,7.36,9.92,12.16,9.6,1.6,0.64,2.56,11.84,4.8,0.32,2.24,0.64,0,0.32,10.56,1960.33,1.6,7.36,154.22,5.44
22Month,0.55,2.73,1.09,9.29,0,0,0.55,13.67,5.47,3.83,0,124.09,0.55,1.64,4.92,0,0.55,1.64,5.47,0,1.09,0.55,0,0.55,0,0.55,0.55,6.56,0,1.09,472.86,0,0,0.55,1.09
