stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,0,0,0,4.09,8.17,16.35,16.35,0,0,0,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,10.7,1.07,0,0,0,0,0,0,0,0,9.63,10.7,0,1.07,2.14,0,0,11.77,7.49,0,0,3.21,1.07,0,3.21,1.07,0,0,0,0
21Day,0,0,0,44.17,0,0,0,1.34,0,0,0,1.34,0,0,13.39,1.34,1.34,0,1.34,0,8.03,5.35,0,0,2.68,0,2.68,0,0,2.68,0,0,0
3Month,0.32,0,1.28,45.75,0,0,1.6,0.32,0,37.75,0.96,0,13.12,3.2,13.44,1.92,2.56,0,1.6,0.64,3.2,0.32,0.96,0.32,0.32,1.92,13.12,0.32,0,0,0.64,1.92,0.96
22Month,0,3.28,1.09,31.16,0,1.09,6.56,8.2,22.96,180.4,2.73,0.55,38.81,1.64,4.92,7.11,3.83,4.92,2.73,0,0.55,0.55,2.73,0.55,0,0.55,8.2,2.19,0,0,0,0,1.09
