stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,2.68,6.69,2.68,0,2.68,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,2.24,3.84,25.28,0.32,3.84,0.64,0.32,1.6,0.32,0.96,0.32,0,11.52,0,0,0.32,0,0.64
22Month,2.19,1.64,19.68,0,55.21,0,0,2.73,0,0,0,0.55,0,0,0,0,0.55,0
